Nom_scientifique,Nom_français,Nom_valide,CD_NOM
Ranunculus polyanthemos L. ssp. polyanthemoides (Boreau) Ahlfvengren,Renoncule a segments etroits,"Ranunculus polyanthemoides Boreau, 1857",117175
Ranunculus tripartitus DC.,Renoncule tripartite,"Ranunculus tripartitus DC., 1807",117258
Rhynchospora alba (L.) Vahl,Rhynchospore blanc,"Rhynchospora alba (L.) Vahl, 1805",117731
Rhynchospora fusca (L.) Ait. fil.,Rhynchospore brun,"Rhynchospora fusca (L.) W.T.Aiton, 1810",117732
Rumex scutatus L.,Oseille ronde,"Rumex scutatus L., 1753",119587
Sagina nodosa (L.) Fenzl.,Sagine noueuse,"Sagina nodosa (L.) Fenzl, 1833 subsp. nodosa",762178
Sagina nodosa (L.) Fenzl.,Sagine noueuse,"Sagina nodosa (L.) Fenzl, 1833",119812
Sagina subulata (Swartz) C. Presl.,Sagine subulee,"Sagina revelierei Jord. & Fourr., 1866",119824
Salix repens L.,Saule rampant,"Salix repens L., 1753 subsp. repens",140478
Salix repens L.,Saule rampant,"Salix repens L., 1753 var. repens",151113
Salix repens L.,Saule rampant,"Salix repens var. dunensis (Rouy) P.Fourn., 1935",151107
Salix repens L.,Saule rampant,"Salix repens L., 1753",120192
Sanguisorba officinalis L.,Sanguisorbe,"Sanguisorba officinalis L., 1753",120758
Scabiosa canescens Waldst. et Kit.,Scabieuse odorante,"Scabiosa canescens Waldst. & Kit., 1802",121329
Scirpus cespitosus L.,Scirpe cespiteux,"Trichophorum cespitosum (L.) Hartm., 1849 subsp. cespitosum",141824
Scirpus cespitosus L.,Scirpe cespiteux,"Trichophorum cespitosum nothosubsp. foersteri Swan, 1999",718426
Scirpus cespitosus L.,Scirpe cespiteux,"Trichophorum cespitosum subsp. germanicum (Palla) Hegi, 1908",141825
Scirpus cespitosus L.,Scirpe cespiteux,"Trichophorum cespitosum (L.) Hartm., 1849",127193
Scirpus fluitans L.,Scirpe flottant,"Isolepis fluitans (L.) R.Br., 1810",103862
Scorzonera austriaca Willd.,Scorsonere d'Autriche,"Scorzonera austriaca Willd., 1803 subsp. austriaca",140804
Scorzonera austriaca Willd.,Scorsonere d'Autriche,"Scorzonera austriaca subsp. bupleurifolia (Pouzolz ex Timb.-Lagr. & Jeanb.) Bonnier, 1923",140805
Scorzonera austriaca Willd.,Scorsonere d'Autriche,"Scorzonera austriaca Willd., 1803",121939
Sedum hirsutum All.,Orpin herisse,"Sedum hirsutum All., 1785 subsp. hirsutum",140863
Sedum hirsutum All.,Orpin herisse,"Sedum hirsutum All., 1785",122182
Sedum sexangulare L.,Orpin de Bologne,"Sedum sexangulare L., 1753",122256
Sedum villosum L.,Orpin pubescent,"Sedum villosum L., 1753",122281
Senecio adonifolius Loisel.,Senecon a feuilles d'adonis,"Jacobaea adonidifolia (Loisel.) Merat, 1812",103985
Senecio helenitis (L.) Schinz et Thell.,Senecon a feuilles spatulees,"Tephroseris helenitis (L.) B.Nord., 1978 subsp. helenitis",141543
Senecio helenitis (L.) Schinz et Thell.,Senecon a feuilles spatulees,"Tephroseris helenitis (L.) B.Nord., 1978 var. helenitis",152082
Senecio helenitis (L.) Schinz et Thell.,Senecon a feuilles spatulees,"Tephroseris helenitis subsp. candida (Corb.) B.Nord., 1978",141542
Senecio helenitis (L.) Schinz et Thell.,Senecon a feuilles spatulees,"Tephroseris helenitis subsp. macrochaeta (Willk.) B.Nord., 1978",141544
Senecio helenitis (L.) Schinz et Thell.,Senecon a feuilles spatulees,"Tephroseris helenitis var. arvernensis (Rouy) B.Bock, 2012",718787
Senecio helenitis (L.) Schinz et Thell.,Senecon a feuilles spatulees,"Tephroseris helenitis var. discoidea (DC.) Kerguelen, 1987",152081
Senecio helenitis (L.) Schinz et Thell.,Senecon a feuilles spatulees,"Tephroseris helenitis (L.) B.Nord., 1978",125894
Sison amomum L.,Sison,"Sison amomum L., 1753",123773
Sisymbrella aspera (L.) Spach,Cresson rude,"Sisymbrella aspera (L.) Spach, 1838 subsp. aspera",141230
Sisymbrella aspera (L.) Spach,Cresson rude,"Sisymbrella aspera subsp. praeterita Heywood, 1964",141232
Sisymbrella aspera (L.) Spach,Cresson rude,"Sisymbrella aspera (L.) Spach, 1838",123789
Sisymbrium supinum L.,Sisymbre couche,"Erucastrum supinum (L.) Al-Shehbaz & Warwick, 2003",717179
Sparganium minimum Wallr.,Rubanier nain,"Sparganium natans L., 1753",124412
Spiranthes spiralis (L.) Chevall.,Spiranthe d'automne,"Spiranthes spiralis (L.) Chevall., 1827",124701
Stellaria palustris Retz.,Stellaire glauque,"Stellaria palustris Ehrh. ex Hoffm., 1791",125024
Stipa pennata L.,Stipe pennee,"Stipa pennata L., 1753 subsp. pennata",141484
Stipa pennata L.,Stipe pennee,"Stipa pennata L., 1753",125173
Stratiotes aloides L.,Faux-aloes,"Stratiotes aloides L., 1753",125219
Taraxacum palustre (Lyons) Symons,Pissenlit des marais,"Taraxacum palustre (Lyons) Symons, 1798",125686
Thalictrum minus L.,Petit pigamon,"Thalictrum minus subsp. pratense (F.W.Schultz) Hand, 2001",612576
Thalictrum minus L.,Petit pigamon,"Thalictrum minus subsp. saxatile (Schleich. ex DC.) Ces., 1844",141630
Thalictrum minus L.,Petit pigamon,"Thalictrum minus L., 1753",126159
Thelypteris palustris Schott,Fougere des marais,"Thelypteris palustris Schott, 1834 var. palustris",970826
Thelypteris palustris Schott,Fougere des marais,"Thelypteris palustris Schott, 1834",126276
Trifolium glomeratum L.,Trefle agglomere,"Trifolium glomeratum L., 1753",127326
Trifolium ornithopodioides L.,Trefle pied d'oiseau,"Trifolium ornithopodioides L., 1753",127416
Trifolium rubens L.,Trefle rougeatre,"Trifolium rubens L., 1753",127463
Trigonella monspeliaca L.,Trigonelle de Montpellier,"Medicago monspeliaca (L.) Trautv., 1841",107662
Trinia glauca (L.) Dumort.,Trinie commune,"Trinia glauca (L.) Dumort., 1827 subsp. glauca",141936
Trinia glauca (L.) Dumort.,Trinie commune,"Trinia glauca (L.) Dumort., 1827 var. glauca",613127
Trinia glauca (L.) Dumort.,Trinie commune,"Trinia glauca var. elatior (Gaudin) Briq., 1900",613630
Trinia glauca (L.) Dumort.,Trinie commune,"Trinia glauca (L.) Dumort., 1827",127595
Utricularia intermedia Hayne,Utriculaire intermediaire,"Utricularia intermedia Hayne, 1800",128311
Utricularia minor L.,Petite utriculaire,"Utricularia minor L., 1753",128315
Utricularia neglecta Lehm.,Utriculaire citrine,"Utricularia neglecta Lehm., 1828",128316
Vaccinium oxycoccos L.,Canneberge,"Vaccinium oxycoccos L., 1753",128347
Viola palustris L.,Violette des marais,"Viola palustris L., 1753",129639
Viola rupestris F.W. Schmidt,Violette des sables,"Viola rupestris F.W.Schmidt, 1791",129674
Walhenbergia hederacea (L.) Rchb.,Walhenbergie,"Hesperocodon hederaceus (L.) Eddie & Cupido, 2014",997006
Zannichellia palustris L.,Zannichellie des marais,"Zannichellia palustris L., 1753",130599
