Genre,Famille,Ordre,Classe,Règne,Groupe_Grand_Public,CD_REF,Nom scientifique,CD_NOM
Cyaniris,Lycaenidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,54213,"Cyaniris semiargus (Rottemburg, 1775)",54213
Cyrtaspis,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65894,"Cyrtaspis scutata (Charpentier, 1825)",65894
Danaus,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53352,"Danaus chrysippus (Linnaeus, 1758)",53352
Decticus,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65688,"Decticus albifrons (Fabricius, 1775)",65688
Decticus,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,971804,"Decticus verrucivorus monspelliensis Rambur in Audinet-Serville, 1838",535749
Decticus,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,250699,"Decticus verrucivorus verrucivorus (Linnaeus, 1758)",250699
Decticus,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65687,"Decticus verrucivorus (Linnaeus, 1758)",65687
Decticus,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,0,"Decticus Audinet-Serville, 1831",0
Dociostaurus,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,593315,"Dociostaurus genei (Ocskay, 1832)",593315
Dociostaurus,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,535764,"Dociostaurus jagoi occidentalis Soltani, 1978",535764
Dociostaurus,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,66082,"Dociostaurus jagoi Soltani, 1978",66082
Dociostaurus,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,66080,"Dociostaurus maroccanus (Thunberg, 1815)",66080
Dociostaurus,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,0,"Dociostaurus Fieber, 1853",0
Dolichopoda,Rhaphidophoridae,Orthoptera,Insecta,Animalia,Insectes et araignees,837859,"Dolichopoda azami ligustica Baccetti & Capra, 1959",837859
Dolichopoda,Rhaphidophoridae,Orthoptera,Insecta,Animalia,Insectes et araignees,65968,"Dolichopoda azami Saulcy, 1893",65968
Dolichopoda,Rhaphidophoridae,Orthoptera,Insecta,Animalia,Insectes et araignees,65967,"Dolichopoda linderii (Dufour, 1861)",65967
Dolichopoda,Rhaphidophoridae,Orthoptera,Insecta,Animalia,Insectes et araignees,0,"Dolichopoda Bolivar, 1880",0
Enallagma,Coenagrionidae,Odonata,Insecta,Animalia,Insectes et araignees,65155,"Enallagma cyathigerum (Charpentier, 1840)",65155
